Group,N Fitur,Model,Fold,N Val Samples,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Precision Weighted,Recall Macro,Recall Weighted
Baseline,215,RandomForest,1,2405,0.9859,0.9848,0.9858,0.9867,0.9859,0.983,0.9859
Baseline,215,RandomForest,2,2405,0.9892,0.9883,0.9892,0.991,0.9893,0.9858,0.9892
Baseline,215,RandomForest,3,2405,0.9871,0.9862,0.9871,0.9865,0.9871,0.9858,0.9871
Baseline,215,RandomForest,4,2405,0.9879,0.987,0.9879,0.9891,0.988,0.9851,0.9879
Baseline,215,RandomForest,5,2404,0.9842,0.983,0.9842,0.9849,0.9842,0.9812,0.9842
Baseline,215,XGBoost,1,2405,0.9875,0.9866,0.9875,0.9873,0.9875,0.9859,0.9875
Baseline,215,XGBoost,2,2405,0.9875,0.9866,0.9875,0.988,0.9875,0.9852,0.9875
Baseline,215,XGBoost,3,2405,0.9904,0.9897,0.9904,0.9899,0.9904,0.9896,0.9904
Baseline,215,XGBoost,4,2405,0.9884,0.9875,0.9883,0.9887,0.9884,0.9863,0.9884
Baseline,215,XGBoost,5,2404,0.9884,0.9875,0.9884,0.9877,0.9883,0.9873,0.9884
Baseline,215,LightGBM,1,2405,0.9896,0.9888,0.9896,0.9894,0.9896,0.9883,0.9896
Baseline,215,LightGBM,2,2405,0.9909,0.9902,0.9908,0.9916,0.9909,0.9888,0.9909
Baseline,215,LightGBM,3,2405,0.9904,0.9897,0.9904,0.9896,0.9904,0.9899,0.9904
Baseline,215,LightGBM,4,2405,0.9888,0.9879,0.9888,0.9895,0.9888,0.9864,0.9888
Baseline,215,LightGBM,5,2404,0.9908,0.9902,0.9908,0.9906,0.9908,0.9897,0.9908
10,22,XGBoost,1,2405,0.9655,0.963,0.9655,0.9625,0.9655,0.9636,0.9655
10,22,XGBoost,2,2405,0.9688,0.9664,0.9688,0.9681,0.9688,0.9648,0.9688
10,22,XGBoost,3,2405,0.9655,0.963,0.9655,0.9629,0.9655,0.9631,0.9655
10,22,XGBoost,4,2405,0.9626,0.96,0.9626,0.9584,0.9628,0.9617,0.9626
10,22,XGBoost,5,2404,0.9621,0.9594,0.9622,0.9591,0.9622,0.9597,0.9621
10,22,LightGBM,1,2405,0.9659,0.9635,0.9659,0.9626,0.966,0.9643,0.9659
10,22,LightGBM,2,2405,0.9701,0.9677,0.97,0.9698,0.97,0.9658,0.9701
10,22,LightGBM,3,2405,0.9655,0.963,0.9655,0.9627,0.9655,0.9633,0.9655
10,22,LightGBM,4,2405,0.9663,0.9639,0.9664,0.963,0.9664,0.9649,0.9663
10,22,LightGBM,5,2404,0.9634,0.9608,0.9634,0.9598,0.9635,0.9619,0.9634
10,22,RandomForest,1,2405,0.9626,0.9599,0.9626,0.9597,0.9626,0.9601,0.9626
10,22,RandomForest,2,2405,0.9692,0.9668,0.9691,0.9696,0.9693,0.9642,0.9692
10,22,RandomForest,3,2405,0.9709,0.9687,0.9709,0.9698,0.9709,0.9676,0.9709
10,22,RandomForest,4,2405,0.9663,0.964,0.9664,0.9628,0.9664,0.9651,0.9663
10,22,RandomForest,5,2404,0.963,0.9602,0.963,0.9606,0.963,0.9599,0.963
20,43,XGBoost,1,2405,0.9842,0.983,0.9842,0.983,0.9842,0.983,0.9842
20,43,XGBoost,2,2405,0.9863,0.9853,0.9863,0.9858,0.9863,0.9847,0.9863
20,43,XGBoost,3,2405,0.9817,0.9804,0.9817,0.9795,0.9818,0.9813,0.9817
20,43,XGBoost,4,2405,0.9817,0.9804,0.9817,0.9808,0.9817,0.9799,0.9817
20,43,XGBoost,5,2404,0.9821,0.9808,0.9821,0.9816,0.9821,0.98,0.9821
20,43,LightGBM,1,2405,0.9871,0.9861,0.9871,0.987,0.9871,0.9854,0.9871
20,43,LightGBM,2,2405,0.985,0.9839,0.985,0.9848,0.985,0.983,0.985
20,43,LightGBM,3,2405,0.9817,0.9804,0.9817,0.9799,0.9817,0.9808,0.9817
20,43,LightGBM,4,2405,0.9792,0.9777,0.9792,0.9779,0.9792,0.9775,0.9792
20,43,LightGBM,5,2404,0.9813,0.9799,0.9813,0.9798,0.9813,0.98,0.9813
20,43,RandomForest,1,2405,0.9792,0.9776,0.9792,0.9795,0.9792,0.9758,0.9792
20,43,RandomForest,2,2405,0.9834,0.9821,0.9833,0.9837,0.9834,0.9805,0.9834
