Persentil,N Fitur,Model,Fold,N Val Samples,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Precision Weighted,Recall Macro,Recall Weighted
10,47,XGBoost,1,1856,0.9434,0.9317,0.9437,0.9284,0.9446,0.936,0.9434
10,47,XGBoost,2,1856,0.944,0.9341,0.944,0.9326,0.9445,0.9363,0.944
10,47,XGBoost,3,1856,0.9461,0.9337,0.9461,0.9329,0.9463,0.9346,0.9461
10,47,XGBoost,4,1855,0.9439,0.9346,0.944,0.9323,0.9443,0.9372,0.9439
10,47,XGBoost,5,1855,0.9439,0.9337,0.9441,0.9305,0.945,0.9382,0.9439
10,47,LightGBM,1,1856,0.9434,0.9316,0.9437,0.9285,0.9445,0.9357,0.9434
10,47,LightGBM,2,1856,0.9472,0.9376,0.9472,0.9367,0.9476,0.9391,0.9472
10,47,LightGBM,3,1856,0.9483,0.9363,0.9483,0.9355,0.9484,0.9372,0.9483
10,47,LightGBM,4,1855,0.9456,0.9353,0.9456,0.9336,0.9458,0.9372,0.9456
10,47,LightGBM,5,1855,0.9439,0.9332,0.9441,0.9298,0.945,0.9377,0.9439
10,47,RandomForest,1,1856,0.9418,0.9301,0.9421,0.927,0.9435,0.9348,0.9418
10,47,RandomForest,2,1856,0.9429,0.9349,0.9429,0.9324,0.9438,0.9385,0.9429
10,47,RandomForest,3,1856,0.9488,0.9356,0.949,0.9342,0.9495,0.9374,0.9488
10,47,RandomForest,4,1855,0.9412,0.9286,0.9416,0.9245,0.9427,0.9336,0.9412
10,47,RandomForest,5,1855,0.9385,0.9266,0.9389,0.9221,0.9408,0.9332,0.9385
20,94,XGBoost,1,1856,0.944,0.9332,0.9442,0.9303,0.9449,0.9369,0.944
20,94,XGBoost,2,1856,0.9499,0.9406,0.95,0.9394,0.9506,0.9425,0.9499
20,94,XGBoost,3,1856,0.9494,0.9387,0.9493,0.9386,0.9494,0.9388,0.9494
20,94,XGBoost,4,1855,0.9445,0.9339,0.9447,0.9308,0.9452,0.9373,0.9445
20,94,XGBoost,5,1855,0.9466,0.9367,0.9467,0.9341,0.9472,0.9398,0.9466
20,94,LightGBM,1,1856,0.9477,0.9382,0.9478,0.9359,0.9481,0.9408,0.9477
20,94,LightGBM,2,1856,0.951,0.9419,0.9511,0.9398,0.9517,0.9448,0.951
20,94,LightGBM,3,1856,0.9537,0.9435,0.9536,0.9437,0.9536,0.9433,0.9537
20,94,LightGBM,4,1855,0.9488,0.9382,0.9489,0.9359,0.9493,0.9408,0.9488
20,94,LightGBM,5,1855,0.945,0.934,0.9452,0.931,0.946,0.9379,0.945
20,94,RandomForest,1,1856,0.9429,0.9318,0.9431,0.9283,0.9446,0.9372,0.9429
20,94,RandomForest,2,1856,0.9434,0.9338,0.9436,0.931,0.9448,0.938,0.9434
20,94,RandomForest,3,1856,0.9531,0.9412,0.9531,0.9406,0.9533,0.942,0.9531
20,94,RandomForest,4,1855,0.9396,0.9271,0.9401,0.9229,0.9415,0.9327,0.9396
20,94,RandomForest,5,1855,0.9434,0.9332,0.9436,0.9296,0.9451,0.9388,0.9434
30,141,XGBoost,1,1856,0.945,0.9338,0.9452,0.9315,0.9456,0.9364,0.945
30,141,XGBoost,2,1856,0.951,0.9423,0.9511,0.9402,0.9516,0.945,0.951
30,141,XGBoost,3,1856,0.9531,0.942,0.9532,0.9415,0.9532,0.9425,0.9531
30,141,XGBoost,4,1855,0.9477,0.9382,0.9479,0.9352,0.9484,0.9418,0.9477
30,141,XGBoost,5,1855,0.9461,0.9364,0.9462,0.9341,0.9468,0.9394,0.9461
30,141,LightGBM,1,1856,0.9456,0.9344,0.9457,0.9326,0.9461,0.9366,0.9456
